niveau_vie_decile;part_ticpe_totale;part_diesel_ticpe;part_essence_ticpe
1;0.021087665377;0.01487790466;0.00620976070458
2;0.024080474558;0.017233508292;0.00684696625366
3;0.0223890367113;0.016386561181;0.00600247553046
4;0.0234788574359;0.0170851954807;0.00639366196814
5;0.0264936200288;0.0189952034648;0.00749841653771
6;0.0258458960291;0.0191563822529;0.00668951381009
7;0.0242768779314;0.0183735110066;0.00590336694297
8;0.0243440467349;0.0178322272962;0.00651181942414
9;0.0223626644742;0.0156839681727;0.00667869629572
10;0.0170999906573;0.0121411149754;0.00495887564891
