niveau_vie_decile;part_ticpe_totale;part_diesel_ticpe;part_essence_ticpe
1;0.0270476613631;0.0190828391784;0.00796482216884
2;0.0222508914748;0.0159241430983;0.00632674836516
3;0.0196430771536;0.0143767902886;0.00526628686522
4;0.0192678825779;0.0140209352708;0.00524694731765
5;0.0203758833937;0.0146089530392;0.00576693033432
6;0.0195670790877;0.0145026678957;0.00506441121766
7;0.0177424696148;0.013428063595;0.00431440603303
8;0.0169317695575;0.0124026693903;0.00452910015703
9;0.0152683593867;0.0107084047586;0.00455995462415
10;0.00950656249501;0.00674972697857;0.00275683549811
