niveau_vie_decile;regressivite_revenu;regressivite_depenses;transferts_nets_apres_redistribution_uc
1;0.0117198410841;0.00787278299255;22.12451209
2;0.00589080806297;0.0054928820994;15.1798345597
3;0.00411310897852;0.00403927927791;18.8950057583
4;0.00369694988161;0.00388145280837;14.9361732002
5;0.00360106269602;0.00403425474654;4.58107838961
6;0.00335312930926;0.00381613450665;0.458879811757
7;0.00295233177445;0.00348058066764;0.97129295677
8;0.00289572772956;0.00358720277673;-9.81700790488
9;0.00269667619454;0.00340304548064;-20.4822455823
10;0.00209084326384;0.00324042237489;-45.8100804323
