;change_in_diesel;change_in_essence;change_in_combustibles_liquides;change_in_gaz_ville
1;-0.037032335290047777;-0.02034868727835256;-0.032153125514898254;-0.017772470570112144
2;-0.036842105296596477;-0.02011542294706372;-0.033994805446718394;-0.018232923265938315
3;-0.035586756011349377;-0.020044806093848958;-0.030467350811854466;-0.016849306788886447
4;-0.035499344070549436;-0.018950781687832534;-0.027577698319067513;-0.013597305327000648
5;-0.03399017359852783;-0.019053338814798038;-0.026214172131695957;-0.01363227143104334
6;-0.033544471444623691;-0.018543591355784386;-0.023160746364484213;-0.011920261177413353
7;-0.032029055281393777;-0.017736942009540152;-0.020364482210339881;-0.0088698658072950739
8;-0.030280058253153622;-0.016209727614971661;-0.017199815450550587;-0.0074680009739441717
9;-0.028516718415993767;-0.014943957172784019;-0.016129554450070308;-0.0067403074566381345
10;-0.021947201277475195;-0.011227751424483342;-0.016831729780005616;-0.0055488921877205064
