;change_in_diesel;change_in_essence;change_in_combustibles_liquides;change_in_gaz_ville
1;-0.023420833577931347;-0.010829859229019247;-0.046442129666317493;-0.025189333473891993
2;-0.023298271178909157;-0.012160904469104708;-0.052458494101916012;-0.028531444279412625
3;-0.02447905806818132;-0.01277695628902655;-0.045857320154866321;-0.027836637520868898
4;-0.023095898595286171;-0.011143335882001303;-0.045546131973133987;-0.026203033082165147
5;-0.025081327748541812;-0.0131763962159795;-0.038216351154276074;-0.026740281872152334
6;-0.024085656849056992;-0.012988947062246462;-0.041058435579472953;-0.023372930412937636
7;-0.025098282068951167;-0.012353712280052767;-0.036472633997088451;-0.021093824544136275
8;-0.02370593167859877;-0.011427556023255568;-0.03039555766191486;-0.019846999542422594
9;-0.024980454296747525;-0.012065685665683076;-0.034748458388611313;-0.018499329649852275
10;-0.019545010224428949;-0.010142565959258642;-0.037345037331811944;-0.016776656741838824
