,type,nomf,nomk,nomc,qt_c,dt_c,tpoids,qm_c,dm_c,pm_c,qt_k,dt_k,qm_k,dm_k,pm_k,qt_f,dt_f,qm_f,dm_f,pm_f,nomcoicop
40,1 : Jeune/Aisé,11 : Starchy foods,11442 : Yaourt au soja ,"1144 : Yaourts, fromage blanc",3989.71533203,9188.81738281,110.419998169,36.1321792603,83.2169647217,2.30312609673,,,,,,6861.28271484,16894.3007812,62.13804245,153.000366211,2.4622657299,"114 : Lait, fromage et œufs"
52,1 : Jeune/Aisé,16 : Animal-based foods high in fats,11551 : Autres graisses  alimentaires animales,1155 : saindoux et autres graisses d'origine animale,,,110.419998169,,,,,,,,,1986.42077637,8884.30273438,17.9896831512,80.4591827393,4.47251796722,115 : Huiles et graisses
109,1 : Jeune/Aisé,3 : Soft drinks,21312 : Bière non alcoolisée,2131 : bière et boissons à base de bière,1117.77539062,2677.34204102,110.419998169,10.1229429245,24.2468948364,2.39524149895,,,,,,10521.0341797,10086.6503906,95.2819595337,91.3480377197,0.958712816238,213 : Bières
354,4 : Jeune/Modeste,13 : Beef,11262 : bœuf pané,"1126 : Conserve de viande, plat préparé de viandes",1543.1574707,7643.5859375,79.8000030518,19.3378124237,95.7842788696,4.95321178436,,,,,,1266.81555176,10239.703125,15.8748807907,128.317077637,8.08302593231,112 : Viande
370,4 : Jeune/Modeste,11 : Starchy foods,11442 : Yaourt au soja ,"1144 : Yaourts, fromage blanc",5194.45214844,11182.0722656,79.8000030518,65.0933837891,140.126220703,2.15269517899,,,,,,8853.47167969,14806.2714844,110.945755005,185.542236328,1.6723690033,"114 : Lait, fromage et œufs"
372,4 : Jeune/Modeste,19 : Dairy products,11452 : laits fermentés ,1145 : Fromage et lait caillé,2842.56323242,21475.1015625,79.8000030518,35.6210899353,269.111541748,7.55483675003,,,,,,16683.4394531,18793.40625,209.065643311,235.506332397,1.12647068501,"114 : Lait, fromage et œufs"
408,4 : Jeune/Modeste,11 : Starchy foods,11784 : Steak Soja,"1178 : légumes préparés et plats à base de légumes, frais et surgelés",459.994873047,2315.0246582,79.8000030518,5.76434659958,29.0103321075,5.03271818161,,,,,,8853.47167969,14806.2714844,110.945755005,185.542236328,1.6723690033,117 : Légumes
426,4 : Jeune/Modeste,nan,11942 : Substitut De Repas et Autres Surgele,1194 : autres produits alimentaires,282.582580566,1630.00048828,79.8000030518,3.54113507271,20.426071167,5.76822710037,,,,,,109.343803406,835.797607422,1.37022304535,10.4736537933,7.64375829697,119 : Produits alimentaires n.c.a.
434,4 : Jeune/Modeste,1 : Juices,12241 : Jus de légumes,1224 : jus de légumes,,,79.8000030518,,,,,,,,,7224.59423828,7437.26220703,90.5337600708,93.1987686157,1.0294367075,"122 : Eaux minérales, boissons rafraîchissantes, jus de fruits et de légumes"
439,4 : Jeune/Modeste,3 : Soft drinks,21312 : Bière non alcoolisée,2131 : bière et boissons à base de bière,2069.52612305,4602.7578125,79.8000030518,25.9339103699,57.6786689758,2.22406363487,,,,,,18726.6347656,12789.9511719,234.66960144,160.27507019,0.682981848717,213 : Bières
