,nomf,nomc
0,9 : Plant-based dishes,1111 : Riz  et produits à base de riz
1,11 : Starchy foods,1111 : Riz  et produits à base de riz
2,20 : Prepared mixed meals,1111 : Riz  et produits à base de riz
3,21 : Prepared desserts,1112 : Pain/viennoiserie/biscuits/gâteaux
4,11 : Starchy foods,1112 : Pain/viennoiserie/biscuits/gâteaux
8,20 : Prepared mixed meals,1112 : Pain/viennoiserie/biscuits/gâteaux
10,9 : Plant-based dishes,1113 : Pâtes et plats à base de pâtes
11,20 : Prepared mixed meals,1113 : Pâtes et plats à base de pâtes
12,11 : Starchy foods,1113 : Pâtes et plats à base de pâtes
13,20 : Prepared mixed meals,"1114 : Préparations telles que pâte à pâtisser, gâteau industriel, tarte, quiche"
14,21 : Prepared desserts,"1114 : Préparations telles que pâte à pâtisser, gâteau industriel, tarte, quiche"
15,11 : Starchy foods,1115 : Autres céréales et produits à base de céréales
17,10 : Plant-based foods high in sugar,1115 : Autres céréales et produits à base de céréales
22,15 : Cooked meats,"1125 : Viande séchée salée ou fumée, charcuterie et abats, frais ou surgelé"
23,16 : Animal-based foods high in fats,"1125 : Viande séchée salée ou fumée, charcuterie et abats, frais ou surgelé"
24,13 : Beef,"1126 : Conserve de viande, plat préparé de viandes"
25,20 : Prepared mixed meals,"1126 : Conserve de viande, plat préparé de viandes"
26,14 : Other meats,"1126 : Conserve de viande, plat préparé de viandes"
32,20 : Prepared mixed meals,1134 : Conserves et plats préparés à base de produits de mer
33,18 : Fish and seafoods,1134 : Conserves et plats préparés à base de produits de mer
36,19 : Dairy products,1143 : Lait de conserve
37,21 : Prepared desserts,1143 : Lait de conserve
38,19 : Dairy products,"1144 : Yaourts, fromage blanc"
39,17 : Cheese,"1144 : Yaourts, fromage blanc"
40,11 : Starchy foods,"1144 : Yaourts, fromage blanc"
41,17 : Cheese,1145 : Fromage et lait caillé
42,19 : Dairy products,1145 : Fromage et lait caillé
43,16 : Animal-based foods high in fats,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)"
44,21 : Prepared desserts,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)"
45,11 : Starchy foods,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)"
46,19 : Dairy products,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)"
62,6 : Fresh fruits and vegetables,"1171 : légumes frais à feuilles et à tiges, herbes aromatiques (frais)"
63,12 : Processed fruits and vegetables,"1171 : légumes frais à feuilles et à tiges, herbes aromatiques (frais)"
65,6 : Fresh fruits and vegetables,1173 : légumes frais cultivés pour leurs fruits
66,11 : Starchy foods,1173 : légumes frais cultivés pour leurs fruits
69,12 : Processed fruits and vegetables,1176 : légumes surgelés (non cuisinés)
70,11 : Starchy foods,1176 : légumes surgelés (non cuisinés)
71,12 : Processed fruits and vegetables,"1177 : légumes et plats à base de légume, en conserve (sans PDT)"
72,11 : Starchy foods,"1177 : légumes et plats à base de légume, en conserve (sans PDT)"
73,9 : Plant-based dishes,"1177 : légumes et plats à base de légume, en conserve (sans PDT)"
75,9 : Plant-based dishes,"1178 : légumes préparés et plats à base de légumes, frais et surgelés"
76,11 : Starchy foods,"1178 : légumes préparés et plats à base de légumes, frais et surgelés"
77,12 : Processed fruits and vegetables,"1178 : légumes préparés et plats à base de légumes, frais et surgelés"
78,20 : Prepared mixed meals,"1178 : légumes préparés et plats à base de légumes, frais et surgelés"
79,20 : Prepared mixed meals,"1179 : pomme de terre, autres tubercules, produits à base de PDT"
80,9 : Plant-based dishes,"1179 : pomme de terre, autres tubercules, produits à base de PDT"
81,11 : Starchy foods,"1179 : pomme de terre, autres tubercules, produits à base de PDT"
83,12 : Processed fruits and vegetables,"1182 : confitures, compote, gelées, purées et pâtes de fruits, miel"
84,10 : Plant-based foods high in sugar,"1182 : confitures, compote, gelées, purées et pâtes de fruits, miel"
88,16 : Animal-based foods high in fats,1191 : sauces et condiments
89,12 : Processed fruits and vegetables,1191 : sauces et condiments
90,7 : Spices,1191 : sauces et condiments
92,nan,"1193 : levure , préparations pour desserts, soupes"
93,20 : Prepared mixed meals,"1193 : levure , préparations pour desserts, soupes"
94,9 : Plant-based dishes,"1193 : levure , préparations pour desserts, soupes"
95,nan,1194 : autres produits alimentaires
96,20 : Prepared mixed meals,1194 : autres produits alimentaires
102,3 : Soft drinks,"1223 : jus de fruits et de légumes, sirops, boissons aromatisées"
103,1 : Juices,"1223 : jus de fruits et de légumes, sirops, boissons aromatisées"
108,2 : Alcohol,2131 : bière et boissons à base de bière
109,3 : Soft drinks,2131 : bière et boissons à base de bière
