,ident_men,numero_categ,ocde10,vag,typmen,revtot,fumeur,p1,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,temps2,decile,1,2,3,4,5,6,7,8,9
8,0.0,9,1.5,18.0,3.0,105050.0,0.0,117.459555265,109.4,117.831862947,114.105279915,97.0,110.85859937,119.113494942,121.8,100.135473257,64762.0818638,89.0,5.0,25.0,7921.0,10,0.0688462119679,0.00149988530928,0.115444618926,0.485261722345,0.0303207580096,0.0924074226482,0.0792167753486,0.0803886653391,0.046613940107
17,1.0,9,2.4,18.0,4.0,161200.0,0.0,115.22721884,143.4,111.600305587,116.416233581,97.0,119.625993827,117.607535701,120.304354073,115.499028109,61121.8419653,89.0,5.0,25.0,7921.0,10,0.0847956040573,0.0,0.15434711795,0.226001920451,0.00287438458762,0.108100986722,0.0635624661666,0.162012623486,0.198304896579
26,2.0,9,1.5,18.0,5.0,49991.0,1.0,116.063359813,126.322883326,103.174157304,113.629020251,109.55,117.119882468,108.71713399,121.8,90.4972345702,31698.5943061,89.0,5.0,25.0,7921.0,7,0.00762399824635,0.0153699490449,0.049487328337,0.636044192071,0.0,0.111181990598,0.115721238885,0.0304328346912,0.0341384681277
35,3.0,9,1.0,18.0,1.0,22449.0,1.0,117.137093738,177.4,109.394515267,114.281013363,117.1,117.4,112.232796342,121.8,105.081288796,34636.3389826,89.0,5.0,25.0,7921.0,7,0.126459912046,0.105828099207,0.0203198008614,0.432359543973,0.0243472864405,0.0274685245513,0.122123839396,0.061212942379,0.0798800511449
44,4.0,9,1.5,18.0,3.0,32131.0,0.0,117.557119422,143.4,103.070647402,113.857956205,115.2,116.157410297,125.684659318,117.739364435,105.295247337,33682.2659985,89.0,5.0,25.0,7921.0,7,0.0740509870142,0.0,0.0766996675477,0.339148550327,0.0169900808024,0.06569093375,0.120076751124,0.18147019331,0.125872836123
53,5.0,9,1.0,18.0,1.0,33865.0,0.0,115.667481798,143.4,101.726867338,113.450257954,97.3632092627,116.173248916,128.095265495,114.312656365,103.260214128,38295.3006107,89.0,5.0,25.0,7921.0,8,0.0416132965149,0.0,0.0693033499982,0.50644807713,0.0609321089441,0.0341664397371,0.135440379149,0.133050527737,0.0190458207886
62,6.0,9,1.5,18.0,3.0,75595.0,0.0,119.419149943,103.853333333,103.055945686,115.141673732,97.0,117.230115205,118.944953112,121.925117296,108.163205889,102241.485644,89.0,5.0,25.0,7921.0,10,0.0621768097728,0.00672213295129,0.108418290267,0.336694356184,0.00364567248989,0.180026539772,0.0495508145674,0.10941954233,0.143345841666
71,7.0,9,2.0,18.0,4.0,54564.0,1.0,116.38158669,167.503240209,104.216721455,112.600159952,111.667567568,116.227027027,124.570027752,121.8,102.352762072,21526.0771811,89.0,5.0,25.0,7921.0,4,0.223857477006,0.0591196923805,0.0395571458033,0.484335260777,0.0241583977396,0.0222493232415,0.0275510938884,0.00522515273116,0.113946456433
80,8.0,9,1.5,18.0,3.0,72647.0,0.0,117.474872631,143.4,110.888443057,112.50804653,97.0,115.112623087,119.101354745,121.905965421,114.283445584,78051.4330757,89.0,5.0,25.0,7921.0,10,0.12352738671,0.0,0.0975024211289,0.221937582056,0.00548624699245,0.301425200465,0.0566931063975,0.118465635526,0.0749624207239
89,9.0,9,1.5,18.0,3.0,53589.0,0.0,113.970077478,143.4,101.758262209,113.861290323,113.441158846,115.043787134,121.271875,119.091278635,102.788794097,46425.6872833,89.0,5.0,25.0,7921.0,9,0.0549561539392,0.0,0.0308009770024,0.523361660706,0.0626538437039,0.0325511341868,0.0403365180484,0.198004577804,0.0573351346081
98,10.0,9,1.0,18.0,1.0,14117.0,1.0,117.386667262,160.830435714,107.875182459,113.426315789,97.0,117.4,106.119337088,120.304126528,95.5886827024,35355.1296179,89.0,5.0,25.0,7921.0,8,0.0928420759633,0.125526386328,0.0531620570622,0.403287142143,0.00361759758188,0.0358800976639,0.0146052009341,0.184385742707,0.0866936996171
107,217.0,9,1.5,18.0,3.0,72111.0,0.0,117.167951393,111.059614013,109.360425961,116.23957675,97.0,122.504356962,119.720605493,114.663818692,109.372933139,66017.5343978,89.0,5.0,25.0,7921.0,10,0.0877369639949,0.026132870841,0.104673664357,0.439658447532,0.038164416361,0.0416997747358,0.128098447277,0.0471937351704,0.0866416797307
116,218.0,9,1.0,18.0,1.0,9481.0,0.0,117.031394797,143.4,106.0,111.582202383,117.1,111.2,124.014726028,118.8,109.794512015,21765.1222725,89.0,5.0,25.0,7921.0,4,0.16859004819,0.0,0.0939839117707,0.527615613641,0.0154982059076,0.00713674384816,0.058882978917,0.0,0.128292497726
125,219.0,9,1.5,18.0,3.0,10900.0,1.0,114.304952229,159.360667011,108.739066599,112.962857297,115.2,116.264152727,122.941850134,122.495608979,93.2048617013,41159.8960503,89.0,5.0,25.0,7921.0,9,0.0331385173727,0.0173583197165,0.00213167792677,0.489963875907,0.208551700504,0.0502050524968,0.044071635696,0.0488877384444,0.105691481936
134,220.0,9,1.3,18.0,2.0,37067.0,0.0,114.911837703,143.4,108.395727265,113.066847499,109.55,115.681927711,116.899507753,117.338064865,111.232065418,49042.966884,89.0,5.0,25.0,7921.0,9,0.0539153584833,0.0,0.0724099465104,0.488179474747,0.0,0.0168514772904,0.169880963188,0.132737179195,0.0660256005859
143,221.0,9,1.5,18.0,3.0,39252.0,1.0,116.179612255,139.079798596,102.5,112.963485477,109.55,116.681410669,114.166478791,121.8,111.804203376,25844.2911479,89.0,5.0,25.0,7921.0,5,0.08284994405,0.0175514721609,0.0141795260464,0.622032539347,0.0,0.0740402946819,0.0647800123713,0.0365093162696,0.0880568950713
152,222.0,9,2.3,18.0,4.0,42143.0,1.0,116.695984129,152.202699304,102.620564966,111.446331471,109.784699698,115.866909084,118.133088742,121.8,102.358287402,25805.6595469,89.0,5.0,25.0,7921.0,5,0.194164128031,0.0248805801083,0.0556951364916,0.28290032946,0.108711846995,0.153324316051,0.0576744739681,0.0289058565266,0.0937433323699
161,223.0,9,1.5,18.0,3.0,49298.0,0.0,117.759976763,143.4,114.179057695,113.942351275,101.036270237,115.544777663,127.916525897,121.8,109.750823059,33489.6725209,89.0,5.0,25.0,7921.0,7,0.134461808091,0.0,0.106329676129,0.351555984329,0.179735832915,0.0498349795606,0.0812329193859,0.0593718596142,0.0374769399752
170,224.0,9,2.0,18.0,5.0,42806.0,0.0,118.729638947,110.972546569,103.371261122,114.316745283,97.0,117.4,111.241947307,118.8,99.8558555807,12245.5940628,89.0,5.0,25.0,7921.0,1,0.0795747925266,0.0611946799644,0.144682734626,0.433059884957,0.05681416608,0.0317118348214,0.014660137012,0.0,0.178301770015
179,225.0,9,1.5,18.0,3.0,57437.0,0.0,120.301517695,143.4,102.5,114.512171837,108.782325653,116.9,118.06312869,121.8,116.248080813,28114.4036136,89.0,5.0,25.0,7921.0,6,0.177960246535,0.0,0.158373623152,0.248534018824,0.0965769701619,0.0,0.127121542697,0.00444521220112,0.186988386431
188,226.0,9,1.0,18.0,1.0,55000.0,1.0,116.83792752,177.4,103.171680883,114.31039047,97.0,130.929734675,131.424578652,118.089572279,108.09871287,68415.3460337,89.0,5.0,25.0,7921.0,10,0.0275717289741,0.0301371358682,0.100136776563,0.276231304682,0.0321302805,0.0413596261309,0.137030030171,0.266234596725,0.0891685203859
197,227.0,9,1.0,18.0,1.0,14633.0,0.0,115.38664339,143.4,106.490347167,114.477983539,110.936825936,116.439992932,118.923939809,123.323642744,103.855470864,44057.6398041,89.0,5.0,25.0,7921.0,9,0.0806090995285,0.0,0.0187573755912,0.551870260014,0.0538304625199,0.0664116162763,0.109233397277,0.0680276612394,0.0512601275545
206,228.0,9,2.8,18.0,4.0,65930.0,0.0,117.498032133,112.657099615,105.462197251,114.446261385,115.2,127.556682952,126.849812768,113.427478917,105.146696339,41877.277936,89.0,5.0,25.0,7921.0,9,0.113973703056,0.0142001009637,0.0202206335667,0.530913728819,0.0439240906675,0.126533028571,0.0519804449746,0.0277159688003,0.0705383005817
215,229.0,9,1.5,18.0,3.0,68642.0,0.0,116.934426482,143.4,111.000203998,114.518866621,117.1,112.578224238,126.123310984,121.8,109.178553267,42772.6625306,89.0,5.0,25.0,7921.0,9,0.147075763005,0.0,0.0336604429998,0.611174248183,0.0341741994858,0.0311306620153,0.0555374944421,0.0034185422327,0.0838286476374
224,230.0,9,1.0,18.0,1.0,50784.0,0.0,119.314602727,113.1,119.777117482,114.869194686,97.0,112.037299036,101.438000033,121.8,109.563109583,94544.7155114,89.0,5.0,25.0,7921.0,10,0.0706511300056,0.00746322345619,0.158193014855,0.615740519093,0.00104061978033,0.0255478498248,0.028954327391,0.00227346003426,0.0901358555596
233,231.0,9,1.5,18.0,2.0,22253.0,0.0,117.307757192,143.4,103.134845991,113.488821752,97.0,114.755450237,133.151755586,121.8,110.475422147,23118.5529808,89.0,5.0,25.0,7921.0,4,0.145454467486,0.0,0.0540415118201,0.358145336188,0.037287839184,0.0787608733587,0.0693896611353,0.0794978310507,0.177422479777
242,232.0,9,1.5,18.0,2.0,55139.0,0.0,115.365728599,111.459165795,102.141201675,114.778675645,115.030623658,105.708850932,113.525656267,113.3,107.677914977,77281.2036391,89.0,5.0,25.0,7921.0,10,0.101063304851,0.00720155432853,0.182234409666,0.192266898807,0.0750195909645,0.143823780757,0.0211619865574,0.00970283722971,0.267525636838
251,233.0,9,1.0,18.0,1.0,12000.0,0.0,117.424948481,143.4,112.2,114.726263627,109.55,117.4,98.3,118.8,112.291049767,12982.9424994,89.0,5.0,25.0,7921.0,1,0.182757890453,0.0,0.00983588095844,0.648020480387,0.0,0.0598216091964,0.0,0.0,0.0995641390042
260,234.0,9,2.0,18.0,4.0,66586.0,0.0,118.258632952,106.186858177,109.488396049,114.252572744,97.0000000002,116.352869679,114.947868963,120.891166188,108.586521031,62591.5625739,89.0,5.0,25.0,7921.0,10,0.0931674200179,0.00841099204207,0.128603252521,0.303881309818,0.0250823760982,0.0410955522196,0.161479682883,0.120728153458,0.117551260944
269,235.0,9,1.0,18.0,1.0,77538.0,1.0,115.991847103,177.4,107.571644693,113.667826087,109.55,113.651162791,112.027041405,121.8,107.482841707,39405.8141939,89.0,5.0,25.0,7921.0,8,0.0263653275288,0.0174411028852,0.100027195566,0.608342618747,0.0,0.0141249892167,0.0597871844819,0.103897467295,0.0700141142783
278,236.0,9,2.5,18.0,2.0,160614.0,0.0,117.752163443,109.4,117.450714791,114.442371351,113.543708252,114.269941226,124.330283381,121.8,110.527526406,58092.5984212,89.0,5.0,25.0,7921.0,10,0.128264688323,0.00106950267278,0.202575188888,0.143087433079,0.144133890504,0.0318458012011,0.252251485932,0.0269723732946,0.0697996361058
287,237.0,9,2.4,18.0,4.0,53480.0,0.0,116.431862259,110.65693782,104.760028033,116.28563161,105.647015569,115.709635974,109.497331939,123.144,102.449238112,33383.003845,89.0,5.0,25.0,7921.0,7,0.0884548124158,0.00358569939594,0.0490520684597,0.651881206597,0.0587042979415,0.00754501662362,0.0667292289446,0.0204731199506,0.0535745496719
