,ident_men,ocde10,vag,typmen,revtot,fumeur,niveau_vie_decile,p1,p10,p11,p12,p2,p3,p4,p5,p6,p7,p8,p9,depenses_reelles,temps,mois,mois2,1,2,3,4,5,6,7,8,9,10,11,12
11,0.0,1.0,9.0,1.0,6845.0,1.0,1.0,104.027973568,102.6,103.6,102.26744186,109.2,100.788480392,101.45018315,101.0,100.933555555,102.1,93.7,102.0,15681.3304918,30.0,6.0,36.0,0.033009024645,0.016277327178,0.0685167161052,0.689055070858,0.0,0.05726891906,0.040408687397,0.053847743847,0.0049892235224,0.0,0.0,0.0366272873895
23,1.0,1.5,9.0,2.0,27661.0,0.0,8.0,104.233109422,102.6,103.6,102.392372288,105.7,101.8,100.67440019,98.7477908028,99.6999999999,108.8,93.7982118294,100.360089686,28152.4587708,30.0,6.0,36.0,0.152734917803,0.00314153508296,0.0,0.591841713518,0.0672659836197,0.0660204068004,0.0436163513116,0.0156818576051,0.0144966709733,0.0,0.0,0.0452005632872
35,2.0,1.0,9.0,1.0,27045.0,0.0,9.0,104.019391026,102.6,104.899253091,102.531351981,100.6,101.923472669,100.76283247,103.0,100.7,102.224729091,93.7,102.226737968,36896.2775989,30.0,6.0,36.0,0.0385648617798,0.00182053843064,0.0221971450718,0.31055620347,0.00274211764701,0.0,0.125374734258,0.0475740195673,0.041739891633,0.0,0.378368879532,0.0310616086088
47,3.0,1.0,9.0,1.0,13720.0,0.0,5.0,104.006931359,102.6,103.6,102.5,103.610022272,101.8,100.443642612,103.0,100.7,105.9,93.7,102.255882353,10070.9974759,30.0,6.0,36.0,0.168231016576,0.0748680060568,0.0,0.629009761591,0.0348433273629,0.0,0.0,0.0409728713672,0.027803450314,0.0,0.0,0.0242715667325
59,4.0,1.5,9.0,5.0,70510.0,1.0,10.0,102.927006132,102.6,104.2,101.911003345,108.191584534,101.8,101.298542336,103.0,100.7,105.004651163,93.8249877754,94.3791906539,50818.3183544,30.0,6.0,36.0,0.0561041855851,0.0581146538723,0.00473291062108,0.363333592044,0.00371297709932,0.0,0.0130508904463,0.0244372565987,0.212692856088,0.0,0.211427004302,0.0523936733427
71,5.0,1.0,9.0,1.0,8740.0,1.0,2.0,103.008041667,102.6,103.6,100.730853994,109.2,101.8,101.0735071,103.0,100.7,108.8,93.7438133874,94.631818182,16261.2144747,30.0,6.0,36.0,0.16827438452,0.065472465111,0.0,0.625660625091,0.00409535836986,0.0,0.0103544980285,0.0276162449868,0.0687088121441,0.0,0.0,0.029817611746
83,6.0,1.5,9.0,2.0,71662.0,1.0,10.0,103.608750659,102.6,104.028675136,99.7401111113,108.06858006,101.862734467,101.121037273,99.1358394837,99.7,104.313211781,93.7,81.588560794,62564.1820436,30.0,6.0,36.0,0.0460935378831,0.01184577208,0.0957439359477,0.317958842407,0.029585832444,0.000712388921476,0.0976524697909,0.0461631569563,0.0589425647829,0.0232197532303,0.10555344883,0.166528296726
95,7.0,1.5,9.0,2.0,43618.0,1.0,10.0,103.444708753,102.6,103.299217901,102.415986949,109.2,102.1,101.005063291,103.0,100.192487386,105.9,93.7,101.503604531,30692.8831812,30.0,6.0,36.0,0.0812030268917,0.01225554827,0.00883728422119,0.597661130396,0.010264527586,0.115975269366,0.0,0.00724140479519,0.028948848793,0.0,0.119828087946,0.0177848717359
107,8.0,1.79999995232,9.0,4.0,70462.0,0.0,10.0,102.585326087,102.6,102.5,100.747257876,106.3,102.0,101.54126484,103.0,99.7,105.9,93.7,102.0,26246.4386604,30.0,6.0,36.0,0.0310837017628,0.0,0.00994980635323,0.744495475199,0.000650593785695,0.129218882379,0.0,0.0141136352637,0.00345736394173,0.0,0.0185701240373,0.0484604172784
119,9.0,2.5,9.0,4.0,66740.0,1.0,9.0,102.899737654,102.6,102.756439662,101.219634956,104.488618701,101.798092032,101.337992376,101.818483816,100.7,119.512814896,93.7,101.799920298,40247.1811844,30.0,6.0,36.0,0.0734275901789,0.0665749688239,0.163237355749,0.37149647295,0.0149428750502,0.0,0.0349886581168,0.0183867567801,0.0513470089975,0.0225646811357,0.135030215209,0.0480034170083
131,10.0,2.0,9.0,4.0,72726.0,0.0,10.0,102.619190765,102.6,103.639215242,100.627046334,105.321941748,101.837611846,100.655130048,101.920067149,101.343208896,117.193626908,93.7510000007,102.559815679,80428.6870395,30.0,6.0,36.0,0.0620122070935,0.0161290921037,0.23328023034,0.26535864077,0.0616546611283,0.0234296280676,0.0361087204124,0.00792789238428,0.144437523295,0.0331163605399,0.0328507829015,0.0836942609647
143,11.0,2.40000009537,9.0,4.0,145315.0,0.0,10.0,103.192181601,102.6,103.157692308,100.419022797,105.7,101.904305835,101.404928846,99.4804728547,100.313451262,115.289908257,93.7,100.317912601,66465.6720801,30.0,6.0,36.0,0.0776141526688,0.00513728400347,0.0615358603764,0.406250394989,0.0183370295819,0.0339477149186,0.0395221975106,0.0208941368717,0.101405600402,0.0550999257879,0.059776807233,0.120478895656
155,12.0,1.5,9.0,3.0,72087.0,0.0,10.0,104.073832354,102.6,105.255667506,100.473852444,106.3,101.929787234,101.264723862,100.953249664,100.519256573,102.680733393,93.8507014028,95.0506008583,48687.7600063,30.0,6.0,36.0,0.0504724513664,0.0,0.0101685104561,0.514206801267,0.0782456239688,0.0753518375938,0.0585534487227,0.0186715955898,0.0437911026862,0.0,0.0521213961605,0.0984172321884
167,13.0,3.0,9.0,4.0,83837.0,1.0,9.0,103.577198134,102.6,104.665163621,100.423603751,105.999953249,101.948348349,101.294458455,99.6778570053,100.7,107.975738274,93.8140235911,101.546678147,36249.6341967,30.0,6.0,36.0,0.0606929732567,0.0330299802811,0.0161275586761,0.266980186617,0.0611083184497,0.0139836153209,0.0816466138457,0.00639102240758,0.227214941932,0.0139402822898,0.158625514013,0.0602589929108
179,14.0,2.5,9.0,4.0,108970.0,1.0,10.0,103.064420485,102.6,102.890740741,98.7301458669,108.417701453,101.843111763,101.162415865,101.226687464,100.7,99.1726025939,93.7,101.954694323,41774.8694624,30.0,6.0,36.0,0.0445524130789,0.0121720347139,0.060125887673,0.630626774664,0.0432383132317,0.0,0.115760553927,0.0379755436552,0.0120387494753,0.00231918424561,0.0254079195997,0.0157826257362
191,15.0,1.5,9.0,3.0,45249.0,1.0,10.0,103.278623719,102.6,103.818430724,101.579203335,109.2,101.816177958,101.36105673,101.7,99.7,107.982152231,93.7,86.5960572337,36963.3227957,30.0,6.0,36.0,0.0842693098263,0.00239269443899,0.187894169354,0.320879244185,0.00598244956029,0.0124898318309,0.0353291700395,0.0253990756115,0.155714621654,0.0,0.117636710987,0.0520127225111
203,16.0,2.09999990463,9.0,4.0,30674.0,0.0,6.0,103.248636146,102.6,102.794134898,102.007232204,105.7,101.784905661,101.318614632,102.652568759,100.612236025,120.229617834,93.7982118294,98.8321543409,23130.7786659,30.0,6.0,36.0,0.147146009506,0.0467746645484,0.00861999236036,0.408186885155,0.05080585124,0.0330731630918,0.0332346296408,0.0136331297577,0.0703042956366,0.0,0.0673102863493,0.120911092715
215,17.0,1.5,9.0,3.0,78560.0,0.0,10.0,105.329662651,102.6,104.765452911,100.698384976,105.7,101.854300733,101.267350443,100.600640042,99.7000000005,105.971876886,93.8718844984,101.103176949,101933.598228,30.0,6.0,36.0,0.092836868847,0.0848862026863,0.0540632296568,0.286454893581,0.158346917411,0.0902553491291,0.0139291503587,0.00784003426222,0.0486016094076,0.0,0.0697477797545,0.0930379649051
227,18.0,1.5,9.0,3.0,30444.0,0.0,8.0,102.039779559,102.6,103.322036002,99.9155858313,106.3,101.848270013,101.019357566,102.0,99.7,105.272227444,93.7000000007,102.02940685,27086.3478579,30.0,6.0,36.0,0.0560116766799,0.0,0.191075521281,0.345731127598,0.0249961442465,0.00272609290538,0.201958389915,0.0292128137897,0.0404383524528,0.0,0.0475226258917,0.0603272552403
239,19.0,2.0,9.0,4.0,138765.0,0.0,10.0,105.133337581,102.6,103.303612606,102.437947391,106.3,101.783857019,101.689414511,103.0,100.7,111.741419261,93.8066250971,100.465494334,38048.4477646,30.0,6.0,36.0,0.117569984255,0.0,0.0600242371368,0.545896597463,0.00748918600407,0.0,0.0466516991998,0.015357849317,0.0461577212179,0.0381844019437,0.0819628306062,0.0407054928573
251,20.0,2.40000009537,9.0,4.0,75223.0,0.0,10.0,104.323988213,102.6,105.855715399,100.908540279,105.7,101.8,100.698665133,101.5560243,100.627380952,100.925310415,93.7854066986,100.424555382,55910.7448657,30.0,6.0,36.0,0.0864969886226,0.00631985703438,0.0231969146192,0.294992574484,0.0282791700817,0.0181146576736,0.216774373391,0.00567505958427,0.0327840429614,0.0595422353293,0.194954880336,0.0328692458826
263,21.0,1.5,9.0,2.0,18243.0,0.0,1.0,103.520318449,102.6,104.2,101.282227292,105.096166729,101.8,100.897317527,101.695423971,101.6,123.8,93.7,102.140583554,77769.891208,30.0,6.0,36.0,0.112944355013,0.0386800769044,0.0,0.392100834949,0.306846099655,0.00847676782957,0.0395991673659,0.0164290961148,0.0221793910175,0.0,0.00753091635992,0.0552132947915
275,22.0,1.0,9.0,1.0,38015.0,0.0,10.0,103.161865672,102.6,104.2,101.96556265,105.7,101.8,101.405290342,101.966342016,99.7241699869,105.9,93.7,102.338864629,52066.0583893,30.0,6.0,36.0,0.0586867203286,0.00438638371217,0.0,0.515139598964,0.108596931084,0.072155537117,0.0,0.0464144527502,0.0181110258071,0.0,0.112219032229,0.0642903180072
287,23.0,1.5,9.0,3.0,55984.0,0.0,10.0,103.559367712,102.6,104.991273585,101.780966095,102.558229599,101.8,101.137114579,101.819591691,101.593849658,122.502304496,93.7,102.210555763,50120.194216,30.0,6.0,36.0,0.117047061995,0.0322988233795,0.0432595739485,0.345756434571,0.0951224332092,0.0291333150066,0.0452543851836,0.00443453172765,0.0978957456831,0.0,0.0540752379799,0.135722457317
299,24.0,1.5,9.0,3.0,25636.0,0.0,7.0,103.817466945,102.6,103.6,102.381707317,103.610416666,101.8,101.185599914,103.0,100.7,116.113272877,93.7,102.118264014,21096.4710011,30.0,6.0,36.0,0.258872219587,0.00764159176912,0.0152289269077,0.585854821313,0.0055444828017,0.0,0.0492686271317,0.0086067819749,0.0239864000526,0.0,0.0,0.0449961484629
311,25.0,1.0,9.0,1.0,18294.0,0.0,7.0,101.969190405,102.6,102.5,102.464199029,106.3,101.827568332,101.363924383,103.0,100.7,105.9,93.7,102.0,21470.3244839,30.0,6.0,36.0,0.0708397416235,0.0,0.260271165036,0.526586613155,0.0143754013965,0.0,0.0,0.0156976196276,0.0269143875221,0.0,0.0340516238295,0.0512634478108
323,26.0,1.0,9.0,1.0,6894.0,0.0,1.0,104.27173913,102.6,104.2,101.888888889,106.3,101.8,101.245666872,101.0,100.7,100.6,93.7,99.4,7506.33055493,30.0,6.0,36.0,0.0349349316204,0.0,0.0,0.857894851387,0.0,0.0,0.0130135755842,0.0332501464688,0.0290743793286,0.0,0.012613801895,0.0192183137154
335,27.0,1.5,9.0,3.0,55029.0,0.0,10.0,103.87563964,102.6,102.96996888,99.6682481192,103.481324647,101.645760431,101.498265408,102.201925926,101.40106319,117.356658679,93.7981456955,102.190031586,85772.011056,30.0,6.0,36.0,0.0491830976646,0.0120211271604,0.0152079699726,0.200409558095,0.0201571775476,0.463947609289,0.0583627077266,0.0106908141722,0.0844413330327,0.0,0.0179604319678,0.0676181733711
347,28.0,1.0,9.0,1.0,12699.0,0.0,4.0,102.518107667,102.6,103.6,103.063174603,105.7,101.8,101.706740475,103.0,100.7,108.8,93.7,98.8,10391.2771237,30.0,6.0,36.0,0.269036550329,0.0287656033807,0.0,0.584864265903,0.021691285285,0.0,0.0150904307104,0.0400606469278,0.0,0.0,0.0,0.0404912174643
359,29.0,1.5,9.0,3.0,15397.0,0.0,3.0,102.398832685,102.6,103.6,98.0149239544,102.674162679,101.8,101.754373259,95.4962855063,100.7,105.9,93.7,102.0,13986.2400455,30.0,6.0,36.0,0.139669196104,0.0167292496523,0.0,0.507969537865,0.0838146326686,0.0,0.0,0.107635361886,0.0772023968746,0.0,0.0,0.0669796249501
371,30.0,2.59999990463,9.0,4.0,95438.0,1.0,10.0,102.988901924,102.6,103.448138056,102.117183623,108.352001668,101.839946738,101.403924546,101.263521174,99.7,117.371907515,93.7000000004,102.038387097,36438.4044421,30.0,6.0,36.0,0.0512909222853,0.0425048910914,0.0313125038538,0.357677293821,0.0405401477691,0.0258043417388,0.0117352988971,0.0139221581631,0.175159876511,0.143754670451,0.0835704008895,0.0227274945296
383,31.0,1.0,9.0,1.0,10974.0,0.0,4.0,103.32964414,102.6,104.2,99.0550331126,103.891818182,101.8,101.441007194,101.301059322,100.7,108.8,93.7,102.0,22947.3794503,30.0,6.0,36.0,0.152185630082,0.016099485479,0.0,0.659308372705,0.026342103218,0.0,0.0255972809406,0.012226110167,0.00681887560382,0.0,0.013527366827,0.0878947749787
395,32.0,1.79999995232,9.0,4.0,28693.0,0.0,6.0,102.445454546,102.6,103.6,101.094933448,102.020159151,101.9428125,101.015539891,103.0,100.7,105.9,93.7,101.502025783,18927.8521331,30.0,6.0,36.0,0.0813524951526,0.0371637842931,0.0247340614113,0.725143786731,0.00620228418745,0.0,0.0,0.0122183639479,0.0218759546753,0.0,0.0,0.0913092696003
407,33.0,1.0,9.0,1.0,15590.0,1.0,6.0,103.428984433,102.6,103.295639535,102.663513514,108.559652333,101.992958333,101.071183132,103.0,100.7,102.076853056,93.7180904522,98.5415768033,29644.9504297,30.0,6.0,36.0,0.103765017538,0.0619144253445,0.106598183014,0.341926722908,0.00522728509887,0.0,0.0666831856237,0.0244586805371,0.193214034749,0.0,0.0695383399044,0.0266741252826
419,34.0,1.0,9.0,1.0,19924.0,1.0,8.0,102.913307618,102.6,103.6,98.8093596059,107.451972943,101.8,100.70882665,99.5164848483,99.7,123.8,93.7,102.0,16220.7850702,30.0,6.0,36.0,0.145779558025,0.0918277964659,0.0185888661992,0.575002546748,0.0651363808429,0.00879677638023,0.0240094101512,0.011062799508,0.00964659387497,0.0,0.0,0.0501492718051
431,35.0,1.5,9.0,3.0,20568.0,0.0,5.0,103.276950789,102.6,103.6,102.470484581,101.464791987,101.8,100.018314061,101.582372654,100.102234636,123.8,93.8124260355,100.896331237,26517.3848858,30.0,6.0,36.0,0.373951405507,0.0547993180727,0.0036413298624,0.266777412921,0.0960767741967,0.00449045619471,0.0261419092292,0.0116106542737,0.0329205768759,0.0,0.0,0.129590162869
443,36.0,2.09999990463,9.0,4.0,40309.0,0.0,8.0,103.058621279,102.6,103.786762197,101.983656349,106.3,101.845449591,101.444540303,97.8342358605,101.452200918,123.8,93.7,101.583226126,30923.767912,30.0,6.0,36.0,0.10263769206,0.0,0.0372060595906,0.360296636379,0.0327763723608,0.0568985784687,0.0523509694183,0.027071748966,0.0427164985697,0.000562518324465,0.216376817923,0.0711061079383
455,37.0,1.79999995232,9.0,4.0,31451.0,1.0,7.0,103.322028613,102.6,104.2,102.552793928,109.2,101.86372093,101.58478623,103.0,101.034842361,107.97038835,93.7052023121,101.933173461,35101.3123561,30.0,6.0,36.0,0.0983829286635,0.0587911137925,0.00896111182427,0.507696971672,0.00255397265516,0.0195358915822,0.0712411671832,0.0199531252104,0.0271770601447,0.0,0.054802237982,0.130904419291
467,38.0,2.09999990463,9.0,4.0,46745.0,1.0,9.0,103.06355248,102.6,103.621500798,98.854967666,107.705448718,101.910240964,100.144169329,100.410154328,101.191867663,109.88964359,93.7,103.39189974,34824.8394964,30.0,6.0,36.0,0.0540667715033,0.0286568598538,0.0179324747841,0.271037957353,0.0782956829943,0.0639235051924,0.188371886095,0.019679740788,0.122803157997,0.000988151460332,0.123175681281,0.0310681306993
