nomf,nomc,code_bdf,categorie_fiscale,sante,environnement,mixte,tva_sociale
9 : Plant-based dishes,1111 : Riz  et produits à base de riz,c01111,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_intermediaire
9 : Plant-based dishes,1113 : Pâtes et plats à base de pâtes,c01113,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_intermediaire
9 : Plant-based dishes,"1177 : légumes et plats à base de légume, en conserve (sans PDT)",c01177,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_intermediaire
9 : Plant-based dishes,"1178 : légumes préparés et plats à base de légumes, frais et surgelés",c01178,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_intermediaire
9 : Plant-based dishes,"1179 : pomme de terre, autres tubercules, produits à base de PDT",c01179,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_intermediaire
9 : Plant-based dishes,"1193 : levure , préparations pour desserts, soupes",c01193,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_reduit,tva_taux_intermediaire
11 : Starchy foods,1111 : Riz  et produits à base de riz,c01111,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,1112 : Pain/viennoiserie/biscuits/gâteaux,c01112,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,1113 : Pâtes et plats à base de pâtes,c01113,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,1115 : Autres céréales et produits à base de céréales,c01115,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,"1144 : Yaourts, fromage blanc",c01144,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",c01146,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,1173 : légumes frais cultivés pour leurs fruits,c01173,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,1175 : légumes secs,c01175,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,1176 : légumes surgelés (non cuisinés),c01176,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,"1177 : légumes et plats à base de légume, en conserve (sans PDT)",c01177,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,"1178 : légumes préparés et plats à base de légumes, frais et surgelés",c01178,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
11 : Starchy foods,"1179 : pomme de terre, autres tubercules, produits à base de PDT",c01179,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,1111 : Riz  et produits à base de riz,c01111,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,1112 : Pain/viennoiserie/biscuits/gâteaux,c01112,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,1113 : Pâtes et plats à base de pâtes,c01113,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,"1114 : Préparations telles que pâte à pâtisser, gâteau industriel, tarte, quiche",c01114,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,"1126 : Conserve de viande, plat préparé de viandes",c01126,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,1134 : Conserves et plats préparés à base de produits de mer,c01134,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,"1178 : légumes préparés et plats à base de légumes, frais et surgelés",c01178,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,"1179 : pomme de terre, autres tubercules, produits à base de PDT",c01179,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,"1193 : levure , préparations pour desserts, soupes",c01193,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
20 : Prepared mixed meals,1194 : autres produits alimentaires,c01194,tva_taux_reduit,tva_taux_intermediaire,tva_taux_reduit,tva_taux_intermediaire,tva_taux_intermediaire
21 : Prepared desserts,1112 : Pain/viennoiserie/biscuits/gâteaux,c01112,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
21 : Prepared desserts,"1114 : Préparations telles que pâte à pâtisser, gâteau industriel, tarte, quiche",c01114,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
21 : Prepared desserts,1143 : Lait de conserve,c01143,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
21 : Prepared desserts,"1146 : Autres produits laitiers (dessert à base de lait, crème fraîche, lait aromatisé)",c01146,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
21 : Prepared desserts,"1185 : crèmes glacées, sorbets, entremets glacés",c01185,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1115 : Autres céréales et produits à base de céréales,c01115,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1181 : sucre,c01181,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,"1182 : confitures, compote, gelées, purées et pâtes de fruits, miel",c01182,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1183 : chocolat,c01183,tva_taux_plein,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,"1184 : sucreries, bonbons et autres confiseries",c01184,tva_taux_plein,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
10 : Plant-based foods high in sugar,1213 : cacao et chocolat en poudre,c01213,tva_taux_reduit,tva_taux_plein,tva_taux_reduit,tva_taux_plein,tva_taux_intermediaire
